title,status,area,name,re_date,pre_date,corporation
국민임대,모집중,울산광역시,울산광역시 지역 국민임대주택 예비입주자 모집공고(2022.05.16),2022-05-16,2022-09-16,LH
매입임대,모집중,부산광역시외 1개 지역,[정정공고][부산울산] 2022년 기존주택 등 매입임대주택 예비입주자 모집,2022-05-04,2022-06-17,LH
매입임대,모집중,부산광역시외 1개 지역,[정정공고][부산울산] 2022년 기존주택 등 매입임대주택 예비입주자 모집,2022-05-04,2022-06-17,LH
매입임대,모집중,부산광역시외 1개 지역,[정정공고][부산울산] 2022년 기존주택 등 매입임대주택 예비입주자 모집,2022-05-04,2022-06-17,LH
매입임대,모집중,부산광역시외 1개 지역,[정정공고][부산울산] 2022년 기존주택 등 매입임대주택 예비입주자 모집,2022-05-04,2022-06-17,LH
매입임대,모집중,부산광역시외 1개 지역,[부산울산] 2022년 기존주택 등 매입임대주택 예비입주자 모집,2022-05-04,2022-06-17,LH
전세임대,모집중,서울특별시외 16개 지역,2022 다자녀 전세임대 1순위 입주자 모집 공고,2022-05-02,2022-07-31,LH
10년임대,모집중,울산광역시,문수데시앙2단지 10년공공임대주택(59A) 예비입주자 모집 공고,2022-04-29,2022-06-24,울산광역시도시공사
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
